drugbank_id,mesh_id,relation,trial_phase,approval_status
DB01167,D058387,treats,,Approved
DB01167,D060585,treats,,Approved
DB01167,D001228,treats,,Approved
DB01167,D055744,treats,,Approved
DB01167,D001759,treats,,Approved
DB01167,D006660,treats,,Approved
DB01172,D018410,treats,,Approved
DB01172,D008581,treats,,Approved
DB01172,D014552,treats,,Approved
DB01172,D002761,treats,,Approved
DB01026,D003047,treats,,Approved
DB01026,D002862,treats,,Approved
DB01026,D006660,treats,,Approved
DB01026,D014010,treats,,Approved
DB01026,D010229,treats,,Approved
DB01026,D001759,treats,,Approved
DB01026,D014008,treats,,Approved
DB01009,D010146,treats,,Approved
DB01009,D004412,treats,,Approved
DB04398,D011537,treats,,Approved
DB04465,D007787,treats,,Approved
DB00581,D006501,treats,,Approved
DB00581,D003248,treats,,Approved
DB00709,D015658,treats,,Approved
DB00709,D019694,treats,,Approved
DB00555,D004827,treats,,Approved
DB00555,D065768,treats,,Approved
DB12212,D001281,treats,,Approved
DB12212,D001282,treats,,Approved
DB12212,D014693,treats,,Approved
DB06791,D000172,treats,,Approved
DB06791,D010911,treats,,Approved
DB00448,D004381,treats,,Approved
DB00448,D015043,treats,,Approved
DB00448,D010437,treats,,Approved
DB00128,D007008,treats,,Approved
DB00654,D009798,treats,,Approved
DB00654,D005902,treats,,Approved
DB01097,D015535,treats,,Approved
DB08880,D015535,treats,,Approved
DB00007,D004715,treats,,Approved
DB00848,D001196,treats,,Approved
DB00848,D000724,treats,,Approved
DB16561,D001196,treats,,Approved
DB16561,D000724,treats,,Approved
DB01235,D010301,treats,,Approved
DB01235,D020734,treats,,Approved
DB01235,D010300,treats,,Approved
DB00988,D010301,treats,,Approved
DB00988,D020734,treats,,Approved
DB00988,D010300,treats,,Approved
DB01137,D061387,treats,,Approved
DB01137,D011704,treats,,Approved
DB01137,D018410,treats,,Approved
DB01137,D009177,treats,,Approved
DB00479,D004756,treats,,Approved
DB00479,D016920,treats,,Approved
DB00479,D018410,treats,,Approved
DB00479,D012226,treats,,Approved
DB00479,D002761,treats,,Approved
DB00479,D010019,treats,,Approved
DB00479,D016868,treats,,Approved
DB00479,D004927,treats,,Approved
DB00479,D020814,treats,,Approved
DB00367,D008595,treats,,Approved
DB00367,D004412,treats,,Approved
DB00367,D015663,treats,,Approved
DB09389,D008595,treats,,Approved
DB09389,D004412,treats,,Approved
DB09389,D015663,treats,,Approved
DB00854,D010146,treats,,Approved
DB00281,D061686,treats,,Approved
DB00281,D011538,treats,,Approved
DB00281,D011537,treats,,Approved
DB00281,D006484,treats,,Approved
DB00281,D014526,treats,,Approved
DB00281,D009437,treats,,Approved
DB00594,D004487,treats,,Approved
DB09211,D013919,treats,,Approved
DB01627,D013203,treats,,Approved
DB01627,D011008,treats,,Approved
DB01627,D013290,treats,,Approved
DB00279,D009230,treats,,Approved
DB00279,D003409,treats,,Approved
DB00279,D006042,treats,,Approved
DB00279,D007037,treats,,Approved
DB00722,D009203,treats,,Approved
DB00589,D008881,treats,,Approved
DB00589,D000568,treats,,Approved
DB00589,D000172,treats,,Approved
DB13411,D003866,treats,,Approved
DB00978,D014552,treats,,Approved
DB00978,D001991,treats,,Approved
DB01206,D006689,treats,,Approved
DB01206,D001932,treats,,Approved
DB00836,D003967,treats,,Approved
DB01601,D015658,treats,,Approved
DB00447,D011014,treats,,Approved
DB00447,D001991,treats,,Approved
DB00447,D014552,treats,,Approved
DB00447,D014069,treats,,Approved
DB00455,D012912,treats,,Approved
DB00455,D012223,treats,,Approved
DB00455,D003139,treats,,Approved
DB00186,D065768,treats,,Approved
DB00186,D020190,treats,,Approved
DB00186,D001007,treats,,Approved
DB00186,D013226,treats,,Approved
DB00186,D016584,treats,,Approved
DB06725,D010146,treats,,Approved
DB04836,D003866,treats,,Approved
DB14596,D007500,treats,,Approved
DB14596,D057112,treats,,Approved
DB14596,D014605,treats,,Approved
DB14596,D012393,treats,,Approved
DB14596,D015863,treats,,Approved
DB00873,D007500,treats,,Approved
DB00873,D057112,treats,,Approved
DB00873,D014605,treats,,Approved
DB00873,D012393,treats,,Approved
DB00873,D015863,treats,,Approved
DB00227,D006950,treats,,Approved
DB00227,D006937,treats,,Approved
DB00227,D052456,treats,,Approved
DB00227,D006950,treats,,Approved
DB00227,D015228,treats,,Approved
DB00227,D001161,treats,,Approved
DB00408,D012559,treats,,Approved
DB00408,D001714,treats,,Approved
DB06708,D016778,treats,,Approved
DB13218,D014552,treats,,Approved
DB00934,D003866,treats,,Approved
DB00579,D009765,treats,,Approved
DB00643,D017229,treats,,Approved
DB00643,D001196,treats,,Approved
DB12554,D043183,treats,,Approved
DB00888,D006689,treats,,Approved
DB00888,D011087,treats,,Approved
DB00888,D016410,treats,,Approved
DB00888,D009182,treats,,Approved
DB00737,D014717,treats,,Approved
DB00737,D009041,treats,,Approved
DB00939,D008595,treats,,Approved
DB00939,D004412,treats,,Approved
DB00939,D010146,treats,,Approved
DB00603,D008796,treats,,Approved
DB00603,D004715,treats,,Approved
DB00603,D015663,treats,,Approved
DB00603,D059268,treats,,Approved
DB00253,D012393,treats,,Approved
DB00253,D007500,treats,,Approved
DB00253,D015863,treats,,Approved
DB00253,D014605,treats,,Approved
DB00253,D003320,treats,,Approved
DB00784,D004412,treats,,Approved
DB00784,D010146,treats,,Approved
DB13852,D009765,treats,,Approved
DB00358,D016780,treats,,Approved
DB01065,D007319,treats,,Approved
DB13313,D020734,treats,,Approved
DB01042,D009101,treats,,Approved
DB04843,D010437,treats,,Approved
DB00454,D010146,treats,,Approved
DB00454,D048949,treats,,Approved
DB01365,D007022,treats,,Approved
DB00532,D004827,treats,,Approved
DB00532,D004828,treats,,Approved
DB00849,D057066,treats,,Approved
DB00849,D004827,treats,,Approved
DB00849,D001007,treats,,Approved
DB00371,D001007,treats,,Approved
DB00760,D010538,treats,,Approved
DB00760,D016920,treats,,Approved
DB00760,D008586,treats,,Approved
DB00760,D018784,treats,,Approved
DB00933,D012559,treats,,Approved
DB01357,D008595,treats,,Approved
DB01357,D004715,treats,,Approved
DB00816,D001991,treats,,Approved
DB00816,D011656,treats,,Approved
DB00816,D001249,treats,,Approved
DB00610,D007022,treats,,Approved
DB00660,D009128,treats,,Approved
DB01577,D009765,treats,,Approved
DB00940,D010437,treats,,Approved
DB00940,D014549,treats,,Approved
DB04819,D012223,treats,,Approved
DB04819,D011537,treats,,Approved
DB04819,D014581,treats,,Approved
DB04819,D012912,treats,,Approved
DB00463,D004827,treats,,Approved
DB00703,D005902,treats,,Approved
DB00902,D011537,treats,,Approved
DB00902,D000799,treats,,Approved
DB00902,D014581,treats,,Approved
DB00902,D012912,treats,,Approved
DB01603,D012852,treats,,Approved
DB00763,D006980,treats,,Approved
DB00423,D009128,treats,,Approved
DB00563,D011565,treats,,Approved
DB00563,D009182,treats,,Approved
DB00563,D002051,treats,,Approved
DB00723,D007022,treats,,Approved
DB11315,D003139,treats,,Approved
DB11315,D043183,treats,,Approved
DB11315,D012223,treats,,Approved
DB00462,D003139,treats,,Approved
DB00462,D043183,treats,,Approved
DB00462,D012223,treats,,Approved
DB05246,D004827,treats,,Approved
DB00232,D004487,treats,,Approved
DB01118,D014693,treats,,Approved
DB09241,D008708,treats,,Approved
DB00353,D006473,treats,,Approved
DB00704,D059350,treats,,Approved
DB00704,D009765,treats,,Approved
DB00422,D009290,treats,,Approved
DB00959,D009182,treats,,Approved
DB00959,D001249,treats,,Approved
DB00959,D012214,treats,,Approved
DB00959,D011538,treats,,Approved
DB00959,D007819,treats,,Approved
DB00959,D015535,treats,,Approved
DB00959,D000224,treats,,Approved
DB00959,D009103,treats,,Approved
DB00959,D015210,treats,,Approved
DB00959,D013966,treats,,Approved
DB00959,D016410,treats,,Approved
DB00959,D006689,treats,,Approved
DB00959,D003874,treats,,Approved
DB00959,D008224,treats,,Approved
DB00959,D001607,treats,,Approved
DB00959,D004892,treats,,Approved
DB00959,D005076,treats,,Approved
DB00959,D016460,treats,,Approved
DB00959,D013585,treats,,Approved
DB00959,D000799,treats,,Approved
DB00959,D012713,treats,,Approved
DB00959,D008180,treats,,Approved
DB00959,D013717,treats,,Approved
